BeverageSegment,Brand,DigitalCatalogProductName,WineVarietal,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,ProductDescShort,ProductDescLong,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,ProductBullet06,ProductBullet07,ProductBullet08,ProductBullet09,ProductBullet10,ProductBullet11,ProductBullet12,SurgeonGeneralWarning,ProductDisclaimerSparkling,ProductPlaceOfOrigin,CountryOfOrigin,LegalSocialResponsibility,LegalMandatoryStatement,Image_package_front,Image_package_right,Image_package_left,Image_bottle_standard,Image_label_front,Image_label_back,Image_can_standard,Image_box_front,Image_box_right,Image_box_left,Nutrition_Ingredients,ABV
Wine,Rosatello Sweet,"Rosatello Sweet Rose, Blush Sparkling Wine, 750 mL Bottle",Rose,750,mL,1,,Bottle,Rosatello Sweet Sparkling Rose opens with aromas of wild strawberries. This pink wine has flavors of sweet raspberries with bright acidity and a fresh finish. We recommend chilling before enjoying.,"Lusciously sweet, fruity, and refreshing, Rosatello wines are made from grapes that grow in the sun-drenched vineyards of Italy�s appellation. Rosatello wines are always irresistibly delicious; this brilliantly pink sparkling wine and its aromas of wild strawberries will remind you of a summer afternoon. Linger over refreshing flavors of sweet raspberries artfully balanced with bright acidity and a fresh, pleasing finish. Perfect for any occasion; we recommend chilling before enjoying.",,,,,Refreshing flavors of sweet raspberries artfully balanced with bright acidity,,,Appellation: Italy,Perfect for any occasion,Chill before enjoying,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.","SPARKLING WARNING: BE CAREFUL! Point bottle away from self and others to avoid serious eye injury.  Stopper may eject forcefully while you are removing the hood or at any time after hood removal.  Bottle contains high pressure which increases with warmth or shaking.  To open: (1) chill well, (2) do not shake, (3) point bottle away from self and others, (4) remove hood, (5) twist stopper out slowly by hand.  NEVER use a cork remover or reinsert stopper.",Italy,Italy,Please enjoy our wines responsibly.,"� 2020 Constellation Imports, Rutherford, CA",,,,http://images.salsify.com/image/upload/s--ltiHvo8F--/unrblanphbknugevtoao.png,http://images.salsify.com/image/upload/s--pvKfgICq--/r2xtoylxaq4v0sukztbz.png,http://images.salsify.com/image/upload/s--E2T_7SE---/qn3xqqet8m6edrsd1i7s.png,,,,,, 750 mL Bottle
Wine,Ruffino,"Ruffino Prosecco DOC, Italian White Sparkling Wine, 3 pk 187 mL Bottles",,187,mL,3,Pack,Bottles,"Ruffino Prosecco DOC Sparkling White Wine is a creamy and crisp Italian prosecco with flavors of peach and golden apples. It is ideal on its own or paired with pizza, seafood and shellfish dishes.","Ruffino Prosecco DOC Sparkling White Wine is an Italian sparkling wine meant to be sipped and enjoyed. This creamy and crisp extra dry white wine offers fruity aromas accompanied by hints of wisteria, with an intense peach and golden apple flavor. This Italian wine begins in the hilly area of Valdobbiadene, with glera grapes that undergo a traditional wine vinification. The winemakers then use selected yeasts in a natural refermentation process to create this clean and delicate Ruffino prosecco wine with refined bubbles and a pleasant finish. Enjoy this Italian prosecco as an aperitif, mix it into your favorite cocktail or pair it with margherita pizza, seafood, shellfish and white meat dishes. For the best quality and taste, drink this Ruffino wine young. Refrigerate for three to three and a half hours and serve at a temperature between 45 and 48 degrees. Please enjoy our wines responsibly. � 2020 Ruffino Import Company, Rutherford, CA.",Three 187 mL bottle of Ruffino Prosecco DOC Sparkling White Wine,This small bottle of wine is equivalent to about one fourth of a standard 750 mL bottle,,"This Ruffino sparkling wine features citrus, apple and pear aromas, with hints of wisteria",Intense pear and golden apple flavors fill out each bottle of wine,"Crisp and clean with delicate bubbles and a pleasant finish, with lingering fruit and floral notes",,"This Italian sparkling wine is made with glera grapes from the hilly area of Valdobbiadene, Italy","Enjoy this prosecco wine on its own or pair it with pizza, seafood, shellfish and white meat dishes",Chill for three to three and a half hours and serve at a temperature between 45 and 48 degrees,,"For those who embrace the Italian way of life, and find the joy in every moment. La Vita Ruffino.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Italy,Italy,Please enjoy our wines responsibly.,"� 2020 Ruffino Import Company, Rutherford, CA",http://images.salsify.com/image/upload/s--tlFX1SEv--/otobjrytcupljqzmz4ko.png,,,http://images.salsify.com/image/upload/s--LIVSmgIJ--/fnp8jrcm4rx1tixf5u9f.png,http://images.salsify.com/image/upload/s--SMePBwTo--/vygudxeism8iwxt2rd8f.png,,,,,,, 3 pk 187 mL Bottles
Wine,Arbor Mist,"Arbor Mist Island Fruit Pinot Grigio, Fruit Wine, 750 mL Bottle",Island Fruit Pinot Grigio,750,mL,1,,Bottle,Arbor Mist Island Fruit Pinot Grigio combines crisp pinot grigio and exotic fruits like Japanese plum and citrus fruits to give you a taste of island paradise at home. Best served chilled.,"Get the great taste of wine with a splash of fruit. Arbor Mist is a light varietal wine with the refreshing taste of natural fruit flavors. This combination of crisp pinot grigio and exotic fruits like Japanese plum, citrus fruits, and other flavors give you a taste of island paradise at home. It is perfect for poolside, picnicking, or relaxing at home with friends and family. This fruity, ready-to-drink beverage contains 150 calories and 0 grams of fat per 8-ounce serving. Best served chilled.",,,,,A light wine with the refreshing taste of natural fruit,,,,"Perfect for poolside, picnicking, or relaxing at home with friends and family",Best served chilled,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,United States,United States,Please enjoy our wines responsibly.,"� 2020 Arbor Mist Winery, Canandaigua, NY",,,,http://images.salsify.com/image/upload/s--q7Xhzo7_--/zqstange6rrtyqd33nof.png,http://images.salsify.com/image/upload/s--Oz6qgFPM--/m5fryiyygpjeycwpqtqh.jpg,http://images.salsify.com/image/upload/s--jrfVCKg6--/vg95pbzmwggv97j6rezp.jpg,,,,,, 750 mL Bottle
Wine,Woodbridge by Robert Mondavi,"Woodbridge by Robert Mondavi Sauvignon Blanc, White Wine, 750 mL Bottle",Sauvignon Blanc,750,mL,1,,Bottle,Woodbridge by Robert Mondavi Sauvignon Blanc White Wine combines refreshing lime flavor with delicate floral aromas and a crisp finish. This California wine pairs well with seafood and pasta.,"Woodbridge by Robert Mondavi Sauvignon Blanc White Wine showcases fruit-forward flavors of lime and tropical fruits, making it a refreshing addition that shines alone or alongside food. Sauvignon blanc grapes sourced from California's celebrated Lodi region provide citrus aromas, a light body and a pleasantly crisp finish to this fine wine. This Woodbridge wine is perfect to sip on its own for a weekday happy hour or deliciously paired with fresh appetizers such as oysters and crab cakes or chicken dishes. Refrigerate this table white wine for 2 to 2 and a half hours before serving slightly chilled at around 50 degrees. Crafted for over 30 years and perfect for every day. Please enjoy our wines responsibly. � 2020 Woodbridge Winery, Acampo, CA USA.",One 750 mL bottle of Woodbridge by Robert Mondavi Sauvignon Blanc White Wine,,,Sauvignon blanc wine showcases delicate floral aromas,Fruit-forward flavors of this table white include lime and tropical fruit,"Crisp white wine is delicious with a light body and a bright, refreshing finish on the palate",,Sauvignon blanc grapes in this fine wine are sourced from California's celebrated Lodi region,This white wine pairs nicely with food such as chicken dishes and salad with spring greens,Refrigerate this table white wine for 2 to 2 and a half hours before serving chilled,,"Born from a legend, enjoyed by all.  From One For All.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 Woodbridge Winery, Acampo, CA",,,,http://images.salsify.com/image/upload/s--x0S4TI9R--/gam7mu0rmrefnetgwhxd.png,http://images.salsify.com/image/upload/s--bzVmGVgB--/rhdqod9b3jawe5dztqdz.jpg,http://images.salsify.com/image/upload/s--oaGCKOvb--/czt0a5wb9k069ti5rdsi.jpg,,,,,, 750 mL Bottle
Wine,Woodbridge by Robert Mondavi,"Woodbridge by Robert Mondavi Cabernet Sauvignon, Red Wine, 187 mL Go Glass",Cabernet Sauvignon,187,mL,1,,Go Glass,"Woodbridge by Robert Mondavi Cabernet Sauvignon Red Wine has opening aromas of berry and cedar, flavors of chocolate and fruit and a caramel finish. It pairs well with grilled meat or red sauce.","Woodbridge by Robert Mondavi Cabernet Sauvignon Red Wine is a flavorful medium-bodied wine with notes of berries, toasted marshmallow, chocolate and graham cracker. A toasty caramel finish complements opening aromas of cherries, berries, cedar, brown sugar and toast. Premium grapes grown in the warm days and cools nights of the Central Valley give this California wine an excellent taste that pleases the palate on its own or with your favorite meal. This delicious red table wine pairs delightfully with grilled meats, seafood, chicken and tomato-based pasta dishes. Keep this cabernet sauvignon wine at room temperature, then chill for 30 to 60 minutes and serve at about 60 degrees. Crafted for over 30 years and perfect for every day. Please enjoy our wines responsibly. � 2020 Woodbridge Winery, Acampo, CA USA",One 187 mL Go Glass of Robert Mondavi Cabernet Sauvignon Red Wine,This 187 mL wine glass contains roughly one fourth as much wine as a standard 750 mL bottle,Take this glass of wine anywhere with portable Go Glass packaging,"Enjoy aromas of cherries, berries, cedar, brown sugar and toast in this cabernet sauvignon wine","Fine wine with flavors of berries, toasted marshmallow, chocolate and graham cracker",Medium-bodied California red wine with  a toasty caramel finish,State-of-the-art technology and unique growing techniques ensure quality Woodbridge wine,This California wine is crafted in the Lodi region from premium grapes grown in the Central Valley,"Enjoy this glass of wine with grilled meats, chicken, seafood or tomato-based pasta dishes","Store at room temperature, then chill for 30 to 60 minutes before serving at around 60 degrees",,"Born from a legend, enjoyed by all.  From One For All.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 Woodbridge Winery, Acampo, CA",,,,http://images.salsify.com/image/upload/s--iJ6H4OpC--/fhk7axzg78tbtkeamp3g.png,,,,,,,, 187 mL Go Glass
Wine,Hogue,"Hogue Reserve Cabernet Sauvignon, Red Wine, 750 mL Bottle",Cabernet Sauvignon,750,mL,1,,Bottle,"Hogue Cabernet Sauvignon has aromas of black currant, blueberry, lavender, black pepper, cocoa, molasses, and dried tobacco, with hints of toast. On the palate, this red wine is rich and creamy.","The majority of Washington�s wine grapes are planted east of the Cascade Range in the Columbia Valley appellation, which encompasses the Yakima Valley and Walla Walla appellations. The Columbia Valley covers 18,000 square miles and provides a huge range of geographical and climatic conditions for grape growing. Hogue Cellars wine is made with grapes that have intense fruit flavors and high natural acidity, which is why it is one of the most recognized names in Washington wines. This cabernet sauvignon offers enticing scents of black currant, blueberry, lavender, black pepper, cocoa, molasses, and dried tobacco, with touches of cream and toast. On the palate, it�s rich and creamy with flavors of blackberry, cherry, dark chocolate, maple, vanilla, and spice. Pair with pepper steak, prime rib, and dark chocolate.",,,,,"Rich flavors of blackberry, cherry, dark chocolate, maple, vanilla, and spice",,,One of the most recognized names in Washington wines,"Pair with pepper steak, prime rib, and dark chocolate",,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Washington,United States,Please enjoy our wines responsibly.,"� 2020 The Hogue Cellars, Ltd., Prosser, WA",,,,http://images.salsify.com/image/upload/s--rt99XGxn--/ji0c3lduwtmxxdx0qk3v.png,http://images.salsify.com/image/upload/s--yqsUjs4j--/yk0dtqbmalyhqqlvav1f.jpg,http://images.salsify.com/image/upload/s--dl88Osbe--/vfs63w8lv5ofzcylolkg.jpg,,,,,, 750 mL Bottle
Wine,Woodbridge by Robert Mondavi,"Woodbridge by Robert Mondavi Chardonnay, White Wine, 187 mL Go Glass",Chardonnay,187,mL,1,,Go Glass,"Woodbridge by Robert Mondavi Chardonnay White Wine offers a vibrant and medium body that pairs easily with appetizers and entrees. Tropical fruit aromas mix with spice, leading to a toasty finish.","Woodbridge by Robert Mondavi Chardonnay White Wine displays aromas of rich tropical fruit combined with a hint of cinnamon and maple. A medium body with vibrant acidity showcases characteristic flavors of ripe pear and green apple, leading to a toasty finish with vanilla oak notes. Sip this chardonnay wine on its own or pair it with delightful appetizers and hearty dishes like lemon pepper chicken. Grapes in this California wine are sourced from the Lodi region. By using state-of-the-art winemaking technology, employing unique growing techniques and cultivating relationships with the local growers, Woodbridge is able to produce high quality grapes for an excellent bottle of wine. Chill this chardonnay wine in the refrigerator for 2 to 2 and a half hours before serving at around 50 degrees. Crafted for over 30 years and perfect for every day, Woodbridge offers approachable white wines that you don't have to overthink. Please enjoy our wines responsibly. � 2020 Woodbridge Winery, Acampo, CA.",One 187 mL Go Glass of Woodbridge by Robert Mondavi Chardonnay White Wine,This glass of wine contains a single serving of chardonnay,This single serve Go Glass is easy to open and portable for everyday use,Woodbridge chardonnay displays aromas of tropical fruit with a hint of cinnamon and maple,Flavors of ripe pear and apple with vanilla notes define this fine wine,This medium-bodied California chardonnay wine offers vibrant acidity and a toasty finish,,The grapes in this California white wine are sourced from the celebrated Lodi region,Pair this Woodbridge wine with hearty dishes like grilled vegetables and lemon-pepper chicken,Store this table white wine in the refrigerator before serving chilled,,"Born from a legend, enjoyed by all.  From One For All.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 Woodbridge Winery, Acampo, CA",,,,http://images.salsify.com/image/upload/s--0F6b8BXt--/undyejfxacjhybxumat6.png,,,,,,,, 187 mL Go Glass
Wine,Robert Mondavi Private Selection,"Robert Mondavi Private Selection Riesling, White Wine, 750 mL Bottle",Riesling,750,mL,1,,Bottle,"Crafted from exceptional grapes grown in California's Central Coast, Robert Mondavi Private Selection Riesling White Wine features flavors and aromas of fruit and honey with a crisp finish.","Robert Mondavi Private Selection Riesling White Wine resonates with flavors of honeysuckle, green apple, lemon, orange, pear and honey. With aromas of candied orange peel, citrus blossom, honey and apricots, this California white wine has fresh fruit character and balanced acidity only found in wines crafted under the influence of the Pacific Ocean. Created from grapes grown at California's best coastal vineyards, this crisp white wine pairs well with lemon risotto and pork chops. Continuing the tradition of wines of the utmost quality, this Central Coast wine is crafted from phenomenal California grapes. Since 1994, select Robert Mondavi wine has been available at a more accessible price under the Private Selection label. For optimal taste, serve this riesling wine chilled, around 50 degrees. Please enjoy our wines responsibly. � 2020 Robert Mondavi, Acampo, CA USA",One 750 ml bottle of Robert Mondavi Private Selection Riesling White Wine,,The screw top makes this bottle of wine easy to open,"Enjoy fragrant aromas of candied orange peel, citrus blossom, honey and apricots","This riesling wine features flavors of honeysuckle, green apple, lemon, orange, pear and honey",Medium body table white wine with a balanced acidity and a crisp finish,,This California white wine is made from grapes grown in the Central Coast,Pair this crisp white wine with pasta and pork,Chill this bottle of wine in the refrigerator for two to two and a half hours before serving,,Enjoy something real: Robert Mondavi�s legendary expertise in wines crafted for everyday enjoyment.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 Robert Mondavi, Acampo, CA",,,,http://images.salsify.com/image/upload/s--KK2ctO5z--/s-c975c754-c34b-4cfe-addf-fa36bbb7620c.png,http://images.salsify.com/image/upload/s--Esv_qTlM--/f5wqqymuu3dqge5zjkfz.png,http://images.salsify.com/image/upload/s--S7kRP-tZ--/ioge5iilesmeoay3q16b.png,,,,,, 750 mL Bottle
Wine,Woodbridge by Robert Mondavi,"Woodbridge by Robert Mondavi Cabernet Sauvignon, Red Wine, 2 pk 1.5 L Bottles",Cabernet Sauvignon,1.5,L,2,Pack,Bottles,"Woodbridge by Robert Mondavi Cabernet Sauvignon Red Wine has opening aromas of berry and cedar, flavors of chocolate and fruit and a caramel finish. It pairs well with grilled meat or red sauce.","Woodbridge by Robert Mondavi Cabernet Sauvignon Red Wine is a flavorful medium-bodied wine with notes of berries, toasted marshmallow, chocolate and graham cracker. A toasty caramel finish complements opening aromas of cherries, berries, cedar, brown sugar and toast. Premium grapes grown in the warm days and cools nights of the Central Valley give this California wine an excellent taste that pleases the palate on its own or with your favorite meal. This delicious red table wine pairs delightfully with grilled meats, seafood, chicken and tomato-based pasta dishes. Keep this cabernet sauvignon wine at room temperature, then chill for 30 to 60 minutes and serve at about 60 degrees. Crafted for over 30 years and perfect for every day. Please enjoy our wines responsibly. � 2020 Woodbridge Winery, Acampo, CA USA",Two 1.5 L bottles of Robert Mondavi Cabernet Sauvignon Red Wine,Each 1.5 liter bottle of wine contains the equivalent of two standard 750 mL bottles,These large bottles of wine are ideal for sharing among friends,"Enjoy aromas of cherries, berries, cedar, brown sugar and toast in this cabernet sauvignon wine","Fine wine with flavors of berries, toasted marshmallow, chocolate and graham cracker",Medium-bodied California red wine with  a toasty caramel finish,State-of-the-art technology and unique growing techniques ensure quality Woodbridge wine,This California wine is crafted in the Lodi region from premium grapes grown in the Central Valley,"Enjoy each bottle of wine with grilled meats, chicken, seafood or tomato-based pasta dishes","Store at room temperature, then chill for 30 to 60 minutes before serving at around 60 degrees",,"Born from a legend, enjoyed by all.  From One For All.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 Woodbridge Winery, Acampo, CA",,,,http://images.salsify.com/image/upload/s--Rx2gBvMG--/in8s8jysaa9guee9qcwj.jpg,http://images.salsify.com/image/upload/s--MUU_aU5N--/tojinxq0on8zvrsrzzuf.jpg,http://images.salsify.com/image/upload/s--RLVQ86BR--/axrb8nebv3ueebd37fw8.jpg,,,,,, 2 pk 1.5 L Bottles
Wine,Cuttings,"Cuttings Napa Valley Cabernet Sauvignon, The Prisoner Wine Company, Red Wine, 750 mL Bottle",Cabernet Sauvignon,750,mL,1,,Bottle,"Cuttings Napa Valley Cabernet Sauvignon Red Wine is a delicious red blend with rich flavors of blueberry, dark cherry and cocoa that pairs well with steak and vegetables, lamb or a cheeseburger.","Cuttings Napa Valley Cabernet Sauvignon Red Wine is a delicious red wine blend with rich flavors of blueberry, dark cherry and cocoa, enhanced by scents of fresh roasted coffee, black currant, vanilla bean, brown spice and wild berries. Inspired by the age-old method of using cuttings from idyllic sites for the propagation of new vines, this California red wine combines grapes from premier hillside vineyards in Napa Valley. The intense flavor of cabernet sauvignon joins with the structure of petite sirah and syrah, with a small amount of zinfandel that adds a nice layer of complexity and spiciness, earning this red blend the title of Best in Class at the 2018 San Francisco Chronicle Wine Competition. Aged in French oak casks for 18 months, this full-bodied cabernet sauvignon wine has a smooth finish that pairs well with steak and vegetables, lamb or a cheeseburger. For best taste and quality, store this barrel aged wine at room temperature and refrigerate for 30 minutes before serving. Please enjoy our wines responsibly. � 2020 The Prisoner Wine Company, St. Helena, CA USA",One 750 mL bottle of Cuttings Napa Valley Cabernet Sauvignon Red Wine,,,"Features scents of fresh roasted coffee, black currant, vanilla bean, brown spice, and wild berries","Delicious red wine blend with flavors of blueberry, dark cherry, and cocoa",This full-bodied red blend has a smooth finish with a nice layer of complexity and spiciness,Barrel aging in French oak casks for 18 months enhances the depth of flavor,California wine made with grapes from premier hillside vineyards in Napa Valley,"Enjoy this cabernet sauvignon wine with steak and vegetables, lamb or a cheeseburger","Store this bottle of wine at room temperature, then refrigerate for 30 minutes before serving",Declared Best in Class at the 2018 San Francisco Chronicle Wine Competition,Working with impassioned growers to make wine that challenges expectations.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 The Prisoner Wine Company, Oakville, CA",,,,http://images.salsify.com/image/upload/s--e8F7W6DT--/vacnhtpgoikmjjjbeqmj.png,http://images.salsify.com/image/upload/s--M5x5iFgC--/qxmenxoqxalrftbg9gen.png,http://images.salsify.com/image/upload/s--nbAhOhom--/p9mqirzyeqeszfhggwc7.png,,,,,, Red Wine
Wine,Black Box,"Black Box Shiraz, Red Wine, 3 L Box",Shiraz,3,L,1,,Box,"Black Box Wines Shiraz boasts blackberry and cocoa aromas with hints of vanilla and tobacco. Flavors of dark cherry and oak complement full-bodied tannins and a rich, lasting finish. Pair with BBQ.","Made from grapes harvested in world-class appellations, Black Box Wines have won over 70 Gold Medals at wine competitions throughout the US and have been awarded over 34 Wine Enthusiast Best Buys. Through a meticulous winemaking process, each of our wines is crafted to be food-friendly, fruit-forward and easy-to-drink. One 3-liter box contains the same amount of wine as four 750ml bottles, is 40% less expensive than comparable bottled wines, and stays fresh for six weeks after opening. Our Black Box Wines Shiraz boasts blackberry and cocoa aromas with hints of vanilla and tobacco. Flavors of dark cherry and oak complement full-bodied tannins and a rich, lasting finish. This delicious red wine is the perfect complement for grilled meats and vegetables.",,One 3L box = four 750 ml bottles,"Stays fresh for 6 weeks after opening,",,Dark cherry and sweet oak complement full-bodied tannins for a rich finish,,,,"Pair with barbecue pork, savory grilled vegetables, and hard cheeses",,70 Gold Medals and 40% less expensive than comparable bottled wines,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 Black Box Wines, Madera, CA",,,,,,,,http://images.salsify.com/image/upload/s--o6lfRMQC--/skvf30n2pmyyo03clzxs.png,http://images.salsify.com/image/upload/s--LmIj8x-U--/aftpfaalho6i1c6cc177.png,http://images.salsify.com/image/upload/s--UlQFYYEv--/zyonf21q8nx2yfkmgazp.png,, 3 L Box
Wine,Mark West,"Mark West Pinot Grigio, White Wine, 750 mL Bottle",Pinot Grigio,750,mL,1,,Bottle,"Mart West Pinot Grigio is crisp and clean, featuring honeydew, stone fruit, and citrus with a subtle, clean, lingering finish. This white wine pairs with fish and chips, salads, and steamed clams.","Mark West Wines accepts nothing less than the best, which is why the fruit for the wines is sourced from the finest vineyards throughout California. Small-lot winemaking techniques are used to express the unique characteristics of each terroir. We choose grapes with bright, ripe fruit flavors and crisp acidity�everything you look for in a Pinot Grigio. After the night and early morning harvesting, the grapes were destemmed and crushed. Crisp and clean, this wine features honeydew, stone fruit, and citrus with a subtle, clean, lingering finish. It pairs well with fish and chips, summer salads, and steamed clams.",,,,,"Bright ripe fruit flavors of honeydew, stone fruit, and citrus","Crisp acidity with a subtle, clean, lingering finish",,Sourced from the finest vineyards throughout California,"Pairs well with fish and chips, summer salads, and steamed clams",,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 Mark West Winery, Acampo, CA",,,,http://images.salsify.com/image/upload/s--lTni3pgj--/klifohxr4grntmwvgp1k.png,http://images.salsify.com/image/upload/s--7de7_zgm--/i3wudpnesa3gvcgmuepw.png,http://images.salsify.com/image/upload/s--1FzIA5Ms--/slnklhngpjhoazbeitkw.png,,,,,, 750 mL Bottle
Wine,Arbor Mist,"Arbor Mist Peach Moscato, Fruit Wine, 1.5 L Bottle",Peach Moscato,1.5,L,1,,Bottle,"Arbor Mist Peach Moscato delivers  juicy orange, ripe peach, and luscious lychee flavors. This fruity, ready-to-drink beverage contains 140 calories and 0 grams of fat per 8-ounce serving.","Get the great taste of wine with a splash of fruit. Arbor Mist is a light varietal wine with the refreshing taste of natural fruit flavors. Delicately sweet with a crisp, lingering finish, this light-bodied blend delivers juicy orange, ripe peach, and luscious lychee flavors. It is perfect for poolside, picnicking, or relaxing at home with friends and family. This fruity, ready-to-drink beverage contains 140 calories and 0 grams of fat per 8-ounce serving. Best served chilled.",,,,,,"Light-bodied moscato blended with juicy orange, ripe peach, and luscious lychee",,,"Perfect for poolside, picnicking, or relaxing at home with friends and family",Best served chilled,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,United States,United States,Please enjoy our wines responsibly.,"� 2020 Arbor Mist Winery, Canandaigua, NY",,,,http://images.salsify.com/image/upload/s--nv6L-1Ki--/dbbxy10uuvo7jxjkod7f.png,,,,,,,, 1.5 L Bottle
Wine,Woodbridge by Robert Mondavi,"Woodbridge by Robert Mondavi Pinot Grigio, White Wine, 4 pk 187 mL Plastic Bottles",Pinot Grigio,187,mL,4,Pack,Bottles,Woodbridge by Robert Mondavi Pinot Grigio Dry White Wine is food-friendly with flavors and aromas of nectarine and fresh peach. Pair it with seafood and other light dishes or sip it solo.,"Woodbridge by Robert Mondavi Pinot Grigio Dry White Wine is a food-friendly wine that displays aromas of fresh peach and nectarine combined with refreshing citrus notes that end in a clean, crisp finish. Hailing from California's famous Lodi region, this light wine is made from pinot grigio grapes originating in the northern coast of Italy. Well-known as a perfect pairing for shellfish and other light fare, this pinot grigio wine is great to sip by the glass or serve with chicken, seafood or oysters. By using state-of-the-art winemaking technology, employing unique growing techniques, and cultivating relationships with the local growers, Woodbridge is able to produce high quality grapes for an excellent bottle of pinot grigio wine. Chill this crisp white wine in the refrigerator for at least two hours before serving cold at around 50 degrees. Woodbridge wine is crafted for over 30 years and perfect for any day. Please enjoy our wines responsibly. � 2020 Woodbridge Winery, Acampo, CA.",Four 187 mL bottles of Woodbridge by Robert Mondavi Pinot Grigio Dry White Wine,This package contains enough pinot grigio wine for approximately one 750 mL bottle,"Go Glasses are convenient, easy to open and shatterproof, perfect for outdoor sipping",This pinot grigio wine offers delicate aromas of nectarine and fresh peach,Delightful citrus and lime flavor defines this California wine,"This California white wine displays a light, round body and a crisp finish",,This Woodbridge wine features pinot gris grapes sourced from California's Lodi region,"This fine wine pairs perfectly with oysters, roast chicken and a variety of cheeses",Refrigerate this table white wine for 2 to 2 and a half hours before serving chilled,,"Born from a legend, enjoyed by all.  From One For All.","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please enjoy our wines responsibly.,"� 2020 Woodbridge Winery, Acampo, CA",http://images.salsify.com/image/upload/s--8ow5vjda--/farcrmjetppsfwsm5dfn.png,,http://images.salsify.com/image/upload/s--2jxZO4Bg--/maqityjkba9q7m15y7si.png,http://images.salsify.com/image/upload/s--iaYehj_Y--/okq37t9xoaxu8xoq2xhm.png,http://images.salsify.com/image/upload/s--N2oQSwuo--/fhcpk4mzf85v8lykypog.png,http://images.salsify.com/image/upload/s--fHSnHqP0--/apxkd38davch56cud0e1.png,,,,,, 4 pk 187 mL Plastic Bottles
